rt_true,da_true,load_true,rt_pred,da_pred,load_pred
36.71,79.54,3811.5557,223.0912,128.8555,4582.4034
36.71,79.54,3788.1826,194.46,159.6486,4622.9697
38.18,61.53,3707.1758,213.0089,150.4004,4625.9263
40.61,61.53,3681.5459,152.1082,130.0647,4599.5331
37.44,61.53,3653.1025,115.6478,121.7915,4639.6691
38.0,61.53,3627.7207,126.2511,141.4997,4647.8373
37.45,61.53,3598.1426,157.6038,143.8906,4664.1816
36.79,61.53,3567.3472,121.91,160.1735,4637.7127
40.32,61.53,3565.9995,176.4354,145.5508,4597.8845
36.89,61.53,3545.6194,190.796,158.9074,4766.2817
36.67,61.53,3486.5352,186.5879,186.6906,4703.3983
37.18,61.53,3475.5127,70.8676,172.311,4545.2251
37.17,61.53,3456.3457,64.4372,202.1648,4712.0362
36.81,61.53,3418.9839,118.4916,183.6622,4704.9343
150.7,53.64,3404.9736,59.8024,100.6136,4548.3533
150.58,53.64,3393.0513,32.4665,64.9502,4544.1233
124.44,53.64,3362.0229,88.1314,54.2802,4534.7179
54.19,53.64,3332.9741,35.086,118.2315,4466.4543
53.82,53.64,3300.2656,77.8327,137.1593,4386.9803
51.95,53.64,3297.5298,83.2325,125.4157,4294.6207
53.58,53.64,3276.8018,49.8383,117.816,4352.2717
35.63,53.64,3224.7056,112.4155,98.9413,4273.1133
35.68,53.64,3218.218,111.6044,109.9057,4347.5991
35.64,53.64,3206.1182,99.0168,109.6303,4185.0131
35.46,53.64,3194.791,170.0195,30.9167,4118.9551
35.41,53.64,3166.812,174.2368,25.8726,4170.9079
36.53,47.1,3192.6855,169.3042,2.1656,4050.2703
35.54,47.1,3171.3076,98.8777,30.9641,4062.2002
35.48,47.1,3147.4248,117.7925,77.5352,4167.8485
31.73,47.1,3135.5474,81.3872,42.9547,4049.5387
31.31,47.1,3122.6973,141.5275,40.2228,4011.1687
29.56,47.1,3074.4795,143.9801,82.3945,3905.6441
28.56,47.1,3084.8955,125.3075,73.863,3766.45
28.08,47.1,3060.2183,113.8707,36.4167,3925.3044
27.01,47.1,3049.2358,202.2976,-3.2243,3753.2558
