rt_true,da_true,load_true,rt_pred,da_pred,load_pred
101.34,78.38,3667.147,50.9386,72.6911,3753.8331
24.54,79.51,3716.4629,46.5786,75.7345,3739.9265
64.84,79.51,3712.6812,42.5926,79.9082,3721.4702
75.87,79.51,3752.2207,43.9048,80.3685,3710.7579
75.97,79.51,3744.0706,49.2868,86.7621,3701.1716
49.88,79.51,3775.502,50.439,86.5192,3739.1354
75.66,79.51,3776.3765,52.047,91.9986,3738.7472
75.99,79.51,3788.3721,53.9569,90.8112,3707.8251
76.07,79.51,3831.0579,52.0643,90.9668,3749.3981
50.23,79.51,3850.9331,50.1292,85.4988,3754.4432
75.98,79.51,3858.21,53.2811,85.549,3774.1093
75.97,79.51,3900.5059,54.2474,87.9971,3849.2229
75.95,79.51,3891.5723,54.4109,88.1552,3825.7861
76.21,86.54,3933.6462,61.5228,90.9348,3792.7259
77.19,86.54,3947.4136,49.7414,88.6151,3842.7928
76.27,86.54,3965.2534,53.4987,88.0522,3837.9673
77.28,86.54,3979.8608,60.1298,85.9064,3891.0501
76.81,86.54,3983.7993,52.4906,85.9291,3860.2225
77.07,86.54,4024.1494,59.4731,85.6402,3868.963
77.33,86.54,4070.2612,53.7546,83.256,3878.8016
76.86,86.54,4105.8877,57.1621,82.0202,3860.7862
77.11,86.54,4125.98,60.728,82.5404,3934.2704
77.66,86.54,4117.6016,55.2008,84.6773,3961.9464
78.52,86.54,4163.4521,64.5408,82.9194,3939.1267
78.42,86.54,4164.0127,58.8026,87.7118,3988.5318
78.03,109.88,4179.1387,76.6775,87.3168,3992.0608
78.6,109.88,4209.0879,71.7621,88.5714,4046.1044
78.48,109.88,4239.0732,76.0697,91.1382,4058.9158
79.46,109.88,4260.6782,68.4407,90.961,4076.4105
79.23,109.88,4270.1465,74.6799,89.7106,4081.5568
79.29,109.88,4305.2148,76.2055,84.8868,4088.0886
79.9,109.88,4334.3486,72.576,93.0131,4121.1499
79.84,109.88,4338.4287,75.1222,86.8823,4231.3899
80.13,109.88,4373.3218,77.8072,91.9001,4241.0144
80.11,109.88,4423.4316,84.1983,85.5988,4304.5511
80.65,109.88,4441.5659,67.3695,90.7594,4238.631
81.74,109.88,4444.1738,71.0566,84.0115,4334.6159
80.08,125.0,4456.4497,72.503,87.3374,4294.1453
81.26,125.0,4473.5039,79.3426,109.9101,4355.7264
80.07,125.0,4499.8662,67.7245,113.593,4371.6335
80.08,125.0,4531.562,88.2141,107.9255,4414.1827
83.62,125.0,4528.7769,90.0455,112.8853,4414.9367
85.03,125.0,4545.1123,87.0786,112.7998,4426.2488
85.03,125.0,4565.396,90.0444,111.3219,4477.3611
84.67,125.0,4556.333,90.3689,108.8721,4526.1394
84.67,125.0,4550.8027,86.4542,111.3686,4517.6322
84.71,125.0,4573.083,84.6746,111.5732,4552.5772
84.74,125.0,4566.8569,89.2336,106.2303,4649.1131
84.81,125.0,4544.9062,91.4516,110.7465,4694.7201
88.38,195.16,4576.3721,89.1388,107.9988,4680.7925
88.35,195.16,4589.562,81.382,126.3622,4670.3009
85.76,195.16,4592.7788,89.1011,127.4296,4671.3638
88.12,195.16,4615.3804,84.5036,126.1748,4678.3053
76.57,195.16,4624.981,90.3619,123.8573,4733.5944
107.31,195.16,4618.3823,85.8684,126.7073,4724.8548
564.58,195.16,4604.4512,87.8952,122.8804,4716.4384
97.61,195.16,4622.8188,91.4329,129.3315,4722.0669
100.82,195.16,4621.1177,86.0224,125.4695,4683.071
86.97,195.16,4626.4434,90.6026,132.2159,4615.4797
90.02,195.16,4638.4272,92.9585,134.4739,4647.4156
135.77,195.16,4658.1602,92.654,132.0919,4633.519
135.07,220.06,4645.1577,87.7839,135.8637,4564.3478
106.65,220.06,4658.3232,85.5277,205.8867,4744.3098
106.41,220.06,4683.0933,86.9132,201.5709,4778.7504
